StairLoop.thisTrialN,StairLoop.stepSize,StairLoop.intensity,StairLoop2.thisTrialN,StairLoop2.stepSize,StairLoop2.intensity,thisRow.t,notes,Intro.started,Instructions.started,key_resp_2.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Left.started,Arrow.started,key_resp.started,Left.stopped,StairLoop.response,key_resp.rt,Pre_SecondBlock.started,key_resp_3.started,Change_eye.started,Pre_SecondBlock.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Right.started,Arrow2.started,Key_Resp2.started,Right.stopped,StairLoop2.response,Key_Resp2.rt,End.started,End.stopped,participant,Age,Gender(M/F/N),Dominant Eye(L/R),Handedness(L/R),date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.002798599999550788,0.0059832999995705904,0.0059832999995705904,15.233671199999662,space,15.205971499999578,None,,,,,,,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
0,0.6,1.0,,,,15.240549699999974,,,,,,,,,15.234040199999981,15.240549699999974,15.240549699999974,16.564838899999813,1,1.3076490000003105,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
1,0.6,0.251188643150958,,,,16.57955679999941,,,,,,,,,16.565331799999512,16.57955679999941,16.57955679999941,21.83276339999975,1,5.236358900000596,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
2,0.6,0.06309573444801933,,,,21.846055899999556,,,,,,,,,21.833190399999694,21.846055899999556,21.846055899999556,23.51320729999952,1,1.6506477000002633,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
3,0.6,0.015848931924611138,,,,23.528806699999222,,,,,,,,,23.51335839999956,23.528806699999222,23.528806699999222,26.03302899999926,1,2.5015818000001673,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
4,0.4,0.003981071705534973,,,,26.045777699999235,,,,,,,,,26.033454399999755,26.045777699999235,26.045777699999235,28.41574689999925,0,2.365082899999834,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
5,0.4,0.010000000000000002,,,,28.429219999999987,,,,,,,,,28.416175999999723,28.429219999999987,28.429219999999987,30.01585309999973,0,1.5706928999998127,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
6,0.4,0.025118864315095805,,,,30.029354399999647,,,,,,,,,30.01630750000004,30.029354399999647,30.029354399999647,30.682902199999262,1,0.6506489000003057,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
7,0.4,0.025118864315095805,,,,30.695596799999294,,,,,,,,,30.68331809999927,30.695596799999294,30.695596799999294,31.331000700000004,1,0.631976499999837,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
8,0.4,0.025118864315095805,,,,31.345519599999534,,,,,,,,,31.33134339999924,31.345519599999534,31.345519599999534,31.9487352999995,1,0.6008338999999978,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
9,0.4,0.010000000000000002,,,,31.96246279999923,,,,,,,,,31.94912909999948,31.96246279999923,31.96246279999923,34.08163929999955,1,2.114321299999574,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
10,0.2,0.010000000000000002,,,,34.095571999999265,,,,,,,,,34.08199109999987,34.095571999999265,34.095571999999265,35.36427800000001,0,1.2509516999998596,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
11,0.2,0.015848931924611138,,,,35.37894950000009,,,,,,,,,35.364631599999484,35.37894950000009,35.37894950000009,36.11582509999971,1,0.7320066000002043,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
12,0.2,0.015848931924611138,,,,36.12901289999991,,,,,,,,,36.11632719999943,36.12901289999991,36.12901289999991,36.84784209999998,1,0.7158435000001191,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
13,0.1,0.015848931924611138,,,,36.86211419999927,,,,,,,,,36.84825009999986,36.86211419999927,36.86211419999927,37.77990509999927,1,0.9029047000003629,,,,,,,,,,,,,,,,MK,18,F,R,L,2025-02-26_12h21.44.324,ContrastSen,2024.2.4,59.967461655372944,2025-02-26 12h22.32.884689 +0000,
