StairLoop.thisTrialN,StairLoop.stepSize,StairLoop.intensity,StairLoop2.thisTrialN,StairLoop2.stepSize,StairLoop2.intensity,thisRow.t,notes,Intro.started,Instructions.started,key_resp_2.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Left.started,Arrow.started,key_resp.started,Left.stopped,StairLoop.response,key_resp.rt,Pre_SecondBlock.started,key_resp_3.started,Change_eye.started,Pre_SecondBlock.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Right.started,Arrow2.started,Key_Resp2.started,Right.stopped,StairLoop2.response,Key_Resp2.rt,End.started,End.stopped,participant,Age,Gender(M/F/N),Dominant Eye(L/R),Handedness(L/R),date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.0031213000183925033,0.006499400013126433,0.006499400013126433,25.625833300000522,right,25.46789189998526,None,,,,,,,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
0,0.6,1.0,,,,25.631409000023268,,,,,,,,,25.62607310002204,25.631409000023268,25.631409000023268,26.511984600045253,1,0.876007099985145,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
1,0.6,0.251188643150958,,,,26.525821800052654,,,,,,,,,26.512441600032616,26.525821800052654,26.525821800052654,27.361804800049867,1,0.827521400002297,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
2,0.6,0.06309573444801933,,,,27.37563870003214,,,,,,,,,27.36228460003622,27.37563870003214,27.37563870003214,28.145776500052307,1,0.7648937000194564,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
3,0.6,0.015848931924611138,,,,28.158769600035157,,,,,,,,,28.146320400002878,28.158769600035157,28.158769600035157,29.044774000009056,1,0.8710178000037558,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
4,0.4,0.003981071705534973,,,,29.058673000021372,,,,,,,,,29.045212700031698,29.058673000021372,29.058673000021372,32.86253870005021,0,3.791937700007111,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
5,0.4,0.010000000000000002,,,,32.875334900047164,,,,,,,,,32.86310750001576,32.875334900047164,32.875334900047164,34.84381380002014,0,1.9662921999697573,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
6,0.4,0.025118864315095805,,,,34.85900050000055,,,,,,,,,34.84409900003811,34.85900050000055,34.85900050000055,36.07788650004659,1,1.2012372000026517,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
7,0.4,0.025118864315095805,,,,36.091765800025314,,,,,,,,,36.078354400000535,36.091765800025314,36.091765800025314,36.81216210004641,1,0.7065845000324771,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
8,0.4,0.025118864315095805,,,,36.825169800024014,,,,,,,,,36.812668600003235,36.825169800024014,36.825169800024014,37.8614337000181,1,1.0207894999766722,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
9,0.4,0.010000000000000002,,,,37.87528580002254,,,,,,,,,37.861868000007235,37.87528580002254,37.87528580002254,41.24339250003686,1,3.3576459000469185,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
10,0.2,0.010000000000000002,,,,41.25817020004615,,,,,,,,,41.243684000044595,41.25817020004615,41.25817020004615,44.34525300003588,0,3.0725350999855436,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
11,0.2,0.015848931924611138,,,,44.35839870001655,,,,,,,,,44.34583450003993,44.35839870001655,44.35839870001655,45.11053880001418,1,0.7424423999618739,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
12,0.2,0.015848931924611138,,,,45.12507860001642,,,,,,,,,45.110845000017434,45.12507860001642,45.12507860001642,45.85987240000395,1,0.7289583000238054,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
13,0.1,0.015848931924611138,,,,45.87470410001697,,,,,,,,,45.86011770000914,45.87470410001697,45.87470410001697,46.52592210000148,1,0.6343759000301361,,,,,,,,,,,,,,,,MS,25,M,R,R,2025-02-11_13h04.13.677,ContrastSen,2024.2.4,60.02210014484237,2025-02-11 13h05.19.652949 +0000,
